"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 03 11:11:05 UTC 2026","Mon Aug 03 11:11:51 UTC 2026","46630","","com.playwright.toolshop.tests.search.SearchTests","","com.playwright.toolshop.tests.search.SearchTests","searchDoesNotWorkWhenEmpty","searchDoesNotWorkWhenEmpty()",""
"broken","Mon Aug 03 11:14:15 UTC 2026","Mon Aug 03 11:14:26 UTC 2026","11025","","Product Catalog","","Actor sorts product by Name","","Actor sorts product by Name","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:13:00 UTC 2026","Mon Aug 03 11:13:31 UTC 2026","31935","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","checkOutOfStockItemsAreNotFilteredBySearch","Out of stock products should not be filtered by search",""
"broken","Mon Aug 03 11:13:24 UTC 2026","Mon Aug 03 11:13:54 UTC 2026","30621","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","shouldFilterProductsByCategory","Product should be filtered by category",""
"broken","Mon Aug 03 11:12:53 UTC 2026","Mon Aug 03 11:13:25 UTC 2026","31641","","com.playwright.toolshop.tests.product.ProductPageTests","","com.playwright.toolshop.tests.product.ProductPageTests","productSpecificationsShouldMatch","productSpecificationsShouldMatch()",""
"broken","Mon Aug 03 11:11:54 UTC 2026","Mon Aug 03 11:12:26 UTC 2026","31941","","com.playwright.toolshop.tests.login.LoginPageTests","","com.playwright.toolshop.tests.login.LoginPageTests","invalidUserShouldNotBeLoggedIn","invalidUserShouldNotBeLoggedIn()",""
"broken","Mon Aug 03 11:11:51 UTC 2026","Mon Aug 03 11:12:22 UTC 2026","31109","","com.playwright.toolshop.tests.search.SearchTests","","com.playwright.toolshop.tests.search.SearchTests","crossButtonClearsSearchResult","Cross button should clear search results",""
"broken","Mon Aug 03 11:14:03 UTC 2026","Mon Aug 03 11:14:15 UTC 2026","12142","","Product Catalog","","Actor sorts product by Price","","Actor sorts product by Price","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:11:05 UTC 2026","Mon Aug 03 11:11:51 UTC 2026","46283","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","shouldShowTitle","Correct title should be shown on the main page",""
"broken","Mon Aug 03 11:14:03 UTC 2026","Mon Aug 03 11:14:15 UTC 2026","11894","","Product Catalog","","Actor sorts product by Name","","Actor sorts product by Name","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"skipped","Mon Aug 03 11:13:24 UTC 2026","Mon Aug 03 11:13:24 UTC 2026","0","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","waitForAPIResponse","waitForAPIResponse()",""
"broken","Mon Aug 03 11:12:24 UTC 2026","Mon Aug 03 11:12:55 UTC 2026","30984","","com.playwright.toolshop.tests.contact.ContactTests","","com.playwright.toolshop.tests.contact.ContactTests","sendContactRequest","Send contact request",""
"broken","Mon Aug 03 11:12:22 UTC 2026","Mon Aug 03 11:12:53 UTC 2026","30853","","com.playwright.toolshop.tests.search.SearchTests","","com.playwright.toolshop.tests.search.SearchTests","noMatchesTest","Check that no results are shown when search doesn't match with any product",""
"broken","Mon Aug 03 11:14:15 UTC 2026","Mon Aug 03 11:14:25 UTC 2026","10711","","Product Catalog","","Actor searches for general term","","Actor searches for general term","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
